"strain" "sex" "age" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"1" "C57BL6/J" "Female" "43days" 94 34 26 8 34
"2" "C57BL6/J" "Female" "43days" 148 58 59 5 82
"3" "C57BL6/J" "Male" "43days" 47 14 8 3 25
"4" "C57BL6/J" "Male" "43days" 100 19 41 4 138
"5" "C57BL6/J" "Male" "43days" 96 27 38 6 107
"6" "C57BL6/J" "Female" "71days" 162 43 26 12 69
"7" "C57BL6/J" "Male" "71days" 120 39 23 6 103
"8" "C57BL6/J" "Female" "32days" 66 25 27 3 22
"9" "C57BL6/J" "Female" "32days" 164 41 66 36 154
"10" "C57BL6/J" "Male" "32days" 122 23 62 11 108
"11" "C57BL6/J" "Male" "32days" 82 17 63 33 123
"12" "C57BL6/J" "Female" "20days" 94 35 103 12 115
"13" "C57BL6/J" "Female" "20days" 45 4 35 10 8
"14" "C57BL6/J" "Male" "20days" 100 2 74 6 76
"15" "C57BL6/J" "Male" "20days" 65 6 123 1 121
"16" "C57BL6/J" "Female" "24days" 81 6 49 2 65
"17" "C57BL6/J" "Male" "24days" 67 6 61 1 95
"18" "C57BL6/J" "Male" "24days" 58 25 55 18 50
"19" "C57BL6/J" "Male" "24days" 139 12 85 2 182
"20" "C57BL6/J" "Female" "71days" 69 15 19 4 17
"21" "C57BL6/J" "Female" "71days" 100 38 17 7 49
"22" "C57BL6/J" "Male" "71days" 57 13 11 5 29
"23" "C57BL6/J" "Male" "71days" 99 33 51 19 112
"24" "C57BL6/J" "Female" "43days" 51 0 10 5 26
"25" "C57BL6/J" "Female" "43days" 102 37 103 30 102
"26" "C57BL6/J" "Male" "43days" 9 4 2 0 4
"27" "C57BL6/J" "Male" "43days" 45 7 11 3 58
"28" "C57BL6/J" "Female" "43days" 73 19 1 1 0
"29" "C57BL6/J" "Female" "43days" 79 24 0 1 10
"30" "C57BL6/J" "Male" "43days" 68 31 6 0 1
"31" "C57BL6/J" "Male" "43days" 14 4 3 1 1
"32" "C57BL6/J" "Female" "24days" 12 7 4 9 27
"33" "C57BL6/J" "Female" "24days" 0 13 37 11 102
"34" "C57BL6/J" "Male" "24days" 62 12 107 9 146
"35" "C57BL6/J" "Male" "24days" 48 9 43 4 123
"36" "C57BL6/J" "Female" "71days" 52 13 1 1 1
"37" "C57BL6/J" "Female" "71days" 57 13 1 0 7
"38" "C57BL6/J" "Male" "71days" 55 20 3 3 9
"39" "C57BL6/J" "Female" "32days" 87 20 59 10 113
"40" "C57BL6/J" "Female" "32days" 115 21 34 14 177
"41" "C57BL6/J" "Male" "32days" 130 32 47 18 137
"42" "C57BL6/J" "Male" "32days" 98 28 52 9 152
"43" "C57BL6/J" "Male" "32days" 58 22 16 13 60
"44" "C57BL6/J" "Male" "32days" 153 16 37 16 220
"45" "C57BL6/J" "Female" "20days" 88 14 26 9 77
"46" "C57BL6/J" "Female" "20days" 32 0 12 0 45
"47" "C57BL6/J" "Male" "20days" 21 4 19 3 52
"48" "C57BL6/J" "Male" "20days" 64 4 78 5 106
"49" "C57BL6/J" "Female" "32days" 100 32 44 10 62
"50" "C57BL6/J" "Male" "32days" 119 40 68 13 144
"51" "C57BL6/J" "Male" "32days" 62 9 37 4 41
"52" "C57BL6/J" "Female" "71days" 144 36 73 13 89
"53" "C57BL6/J" "Female" "71days" 3 1 1 0 2
"54" "C57BL6/J" "Male" "71days" 143 38 58 7 109
"55" "C57BL6/J" "Female" "32days" 47 10 34 6 35
"56" "C57BL6/J" "Female" "32days" 161 37 69 15 45
"57" "C57BL6/J" "Male" "32days" 37 7 20 4 55
"58" "C57BL6/J" "Male" "32days" 96 28 29 13 64
"59" "C57BL6/J" "Female" "24days" 35 8 11 16 46
"60" "C57BL6/J" "Female" "24days" 52 2 30 0 94
"61" "C57BL6/J" "Male" "24days" 66 6 53 6 51
"62" "C57BL6/J" "Male" "24days" 59 7 29 2 79
"63" "C57BL6/J" "Female" "32days" 134 26 30 5 103
"64" "C57BL6/J" "Female" "32days" 70 20 30 3 43
"65" "C57BL6/J" "Male" "32days" 69 18 32 12 55
"66" "C57BL6/J" "Male" "32days" 92 21 32 4 76
"67" "C57BL6/J" "Female" "20days" 82 4 23 0 97
"68" "C57BL6/J" "Female" "20days" 68 14 28 10 94
"69" "C57BL6/J" "Male" "20days" 65 0 66 0 141
"70" "C57BL6/J" "Female" "43days" 62 27 0 3 2
"71" "C57BL6/J" "Female" "43days" 67 16 3 2 9
"72" "C57BL6/J" "Male" "43days" 58 32 5 3 4
"73" "C57BL6/J" "Male" "43days" 122 32 21 1 18
"74" "C57BL6/J" "Male" "43days" 135 32 29 3 160
"75" "C57BL6/J" "Female" "32days" 50 12 16 4 36
"76" "C57BL6/J" "Female" "32days" 177 38 69 12 181
"77" "C57BL6/J" "Male" "32days" 119 21 39 7 157
